# multiStroke
ゎ	10	17
ヴ	10	25
ゐ	10	26
わ	10	27
を	10	28
ゑ	10	29
ゅ	11	15
ゃ	11	17
ょ	11	18
ゆ	11	25
、	11	26
や	11	27
よ	11	28
。	11	29
っ	12	17
る	12	25
り	12	26
ら	12	27
ろ	12	28
れ	12	29
ぶ	13	15
び	13	16
ば	13	17
ぼ	13	18
べ	13	19
ふ	13	25
ひ	13	26
は	13	27
ほ	13	28
へ	13	29
ぷ	14	15
ぴ	14	16
ぱ	14	17
ぽ	14	18
ぺ	14	19
む	14	25
み	14	26
ま	14	27
も	14	28
め	14	29
ゅ	15	11
ぶ	15	13
ぷ	15	14
ず	15	20
ヵ	15	21
ぅ	15	22
ぐ	15	23
づ	15	24
び	16	13
ぴ	16	14
じ	16	20
ー	16	21
ぃ	16	22
ぎ	16	23
ぢ	16	24
ゎ	17	10
ゃ	17	11
っ	17	12
ば	17	13
ぱ	17	14
ざ	17	20
ん	17	21
ぁ	17	22
が	17	23
だ	17	24
ょ	18	11
ぼ	18	13
ぽ	18	14
ぞ	18	20
・	18	21
ぉ	18	22
ご	18	23
ど	18	24
べ	19	13
ぺ	19	14
ぜ	19	20
ヶ	19	21
ぇ	19	22
げ	19	23
で	19	24
ず	20	15
じ	20	16
ざ	20	17
ぞ	20	18
ぜ	20	19
す	20	25
し	20	26
さ	20	27
そ	20	28
せ	20	29
ヵ	21	15
ー	21	16
ん	21	17
・	21	18
ヶ	21	19
ぬ	21	25
に	21	26
な	21	27
の	21	28
ね	21	29
ぅ	22	15
ぃ	22	16
ぁ	22	17
ぉ	22	18
ぇ	22	19
う	22	25
い	22	26
あ	22	27
お	22	28
え	22	29
ぐ	23	15
ぎ	23	16
が	23	17
ご	23	18
げ	23	19
く	23	25
き	23	26
か	23	27
こ	23	28
け	23	29
づ	24	15
ぢ	24	16
だ	24	17
ど	24	18
で	24	19
つ	24	25
ち	24	26
た	24	27
と	24	28
て	24	29
ヴ	25	10
ゆ	25	11
る	25	12
ふ	25	13
む	25	14
す	25	20
ぬ	25	21
う	25	22
く	25	23
つ	25	24
ゐ	26	10
、	26	11
り	26	12
ひ	26	13
み	26	14
し	26	20
に	26	21
い	26	22
き	26	23
ち	26	24
わ	27	10
や	27	11
ら	27	12
は	27	13
ま	27	14
さ	27	20
な	27	21
あ	27	22
か	27	23
た	27	24
を	28	10
よ	28	11
ろ	28	12
ほ	28	13
も	28	14
そ	28	20
の	28	21
お	28	22
こ	28	23
と	28	24
ゑ	29	10
。	29	11
れ	29	12
へ	29	13
め	29	14
せ	29	20
ね	29	21
え	29	22
け	29	23
て	29	24
