ぐ	10	16 
ひ	10	26 
ぶ	10	27 
ご	10	28 
ぇ	10	48 
ゃ	11	16 
そ	11	17 
じ	11	18 
け	11	26 
ら	11	27 
れ	11	28 
ふ	11	38 
ざ	11	48 
お	12	16 
と	12	17 
ど	12	18 
ろ	12	25 
の	12	26 
て	12	27 
が	12	28 
ぼ	12	35 
、	12	40 
、	12	41 
ぴ	12	48 
え	13	16 
わ	13	17 
ょ	13	18 
さ	13	26 
や	13	27 
ば	13	28 
ぬ	13	48 
ぱ	14	16 
ぎ	14	17 
せ	14	26 
ぢ	14	48 
や	15	0 
さ	15	3 
ご	15	4 
ぐ	16	10 
ゃ	16	11 
お	16	12 
え	16	13 
ぱ	16	14 
ち	16	21 
ほ	16	22 
み	16	23 
ぺ	17	0 
び	17	3 
が	17	4 
そ	17	11 
と	17	12 
わ	17	13 
ぎ	17	14 
つ	17	20 
だ	17	21 
ま	17	22 
は	17	23 
ー	17	24 
じ	18	11 
ど	18	12 
ょ	18	13 
こ	18	20 
も	18	21 
よ	18	22 
ね	18	24 
つ	20	17 
こ	20	18 
う	20	26 
る	20	27 
す	20	28 
ん	20	29 
ぺ	20	48 
ち	21	16 
だ	21	17 
も	21	18 
め	21	25 
し	21	26 
で	21	27 
っ	21	28 
。	21	40 
。	21	41 
ぃ	21	48 
ほ	22	16 
ま	22	17 
よ	22	18 
む	22	25 
な	22	26 
た	22	27 
き	22	28 
べ	22	36 
。	22	40 
。	22	41 
へ	22	48 
み	23	16 
は	23	17 
り	23	18 
ず	23	25 
か	23	26 
い	23	27 
に	23	28 
。	23	40 
。	23	41 
ぞ	23	48 
ー	24	17 
ね	24	18 
あ	24	26 
く	24	27 
を	24	28 
ぽ	24	39 
ぅ	24	48 
ろ	25	12 
め	25	21 
む	25	22 
ず	25	23 
ひ	26	10 
け	26	11 
の	26	12 
さ	26	13 
せ	26	14 
う	26	20 
し	26	21 
な	26	22 
か	26	23 
あ	26	24 
ぶ	27	10 
ら	27	11 
て	27	12 
や	27	13 
る	27	20 
で	27	21 
た	27	22 
い	27	23 
く	27	24 
ご	28	10 
れ	28	11 
が	28	12 
ば	28	13 
よ	28	14 
す	28	20 
っ	28	21 
き	28	22 
に	28	23 
を	28	24 
ん	29	20 
ゅ	29	32 
げ	30	17 
ゆ	30	48 
ぷ	31	38 
ぁ	31	48 
ゅ	32	29 
び	32	39 
ぜ	32	48 
ぉ	33	48 
づ	34	48 
ぜ	35	0 
だ	35	4 
ぼ	35	12 
ざ	36	0 
ぎ	36	4 
つ	36	20 
べ	36	22 
ぉ	37	0 
ヴ	37	3 
は	37	4 
ふ	38	11 
ぷ	38	31 
ぞ	39	0 
ね	39	3 
わ	39	4 
ぽ	39	24 
び	39	32 
た	41	0 
め	41	1 
し	41	2 
ぇ	48	10 
ざ	48	11 
ぴ	48	12 
ぬ	48	13 
ぢ	48	14 
ぺ	48	20 
ぃ	48	21 
へ	48	22 
ぞ	48	23 
ぅ	48	24 
ゆ	48	30 
ぁ	48	31 
ぜ	48	32 
ぉ	48	33 
づ	48	34 
