ヴ	0	12 
ぱ	0	20 
ぴ	0	21 
ぷ	0	22 
ぺ	0	23 
ぽ	0	24 
ぁ	0	30 
ぃ	0	31 
ぅ	0	32 
ぇ	0	33 
ぉ	0	34 
ぢ	7	33 
ぎ	10	23 
ゅ	10	38 
づ	12	27 
ふ	13	21 
ゃ	14	14 
や	15	12 
わ	15	21 
う	15	22 
あ	15	23 
む	15	25 
べ	15	28 
せ	16	11 
こ	16	23 
さ	16	24 
じ	16	31 
も	17	20 
ら	17	24 
お	18	20 
ろ	19	21 
ほ	19	30 
ゎ	20	0 
ぬ	20	38 
ゐ	21	0 
ぶ	21	34 
ゑ	22	0 
ぐ	22	14 
ざ	23	18 
ね	23	22 
き	25	13 
ー	25	21 
い	25	22 
。	25	23 
で	25	24 
だ	25	32 
よ	26	11 
か	26	12 
っ	26	13 
く	26	14 
び	26	18 
と	26	20 
し	26	21 
、	26	22 
は	26	24 
り	26	32 
ど	27	10 
た	27	21 
の	27	22 
に	27	24 
え	28	14 
て	28	20 
な	28	24 
め	28	32 
ぜ	29	2 
れ	29	12 
る	29	20 
が	29	21 
を	29	24 
へ	29	29 
そ	29	34 
ゆ	32	32 
ぼ	32	36 
ん	35	22 
け	35	23 
ま	36	22 
ひ	36	38 
ば	37	11 
す	37	23 
ず	37	30 
ょ	37	38 
ぞ	38	16 
つ	38	22 
ち	39	20 
み	39	24 
ご	39	27 
げ	39	30 
